examiner,text
Examiner 01,"fluid contactor-diffuser tray assembly. a separations tray assembly for use in a fluid-fluid exchange column. the separations tray assembly is of the type where a first fluid, in a continuous phase, is directed across successive trays in a serpentine flow path. a second fluid, in a dispersed phase ascends through apertures in the tray thus inducing interaction and mass transfer with the first fluid. in accordance with one aspect of the present invention, the separations tray further includes a diffuser skirt, having apertures disposed therein, operatively coupled to a fluid channel. the diffuser skirt is operable to direct the first fluid to cover substantially an entire volumetric cross-flow window between successive separations trays and to induce stirring and mixing of the first fluid and the second fluid to effect efficient mass transfer.."
Examiner 01,"filter elements; air cleaner; assembly; and, methods. a filter element, a safety element and fluid cleaner assembly. the fluid cleaner assembly generally includes a housing having a cover and a primary fluid cleaner section. the element generally comprises z-filter media, arranged in a straight through configuration, and an axial seal gasket positioned to extend continuously around at outer perimeter of the straight through flow construction. the fluid cleaner assembly can have a precleaner positioned therein. methods of assembly and use are provided.."
Examiner 01,"electric vacuum cleaner. an electric vacuum cleaner has a dust collecting section for removing dust and an electric air blower mounted in its main body and comprises a filter for removing dust from air sucked into the dust collecting section by driving the electric air blower, and a disposable filter can be arranged on the upstream side of the filter.."
Examiner 01,"device for releasing volatile substances. the device for releasing volatile substances comprises a support (9) for positioning a receptacle (3) containing the volatile substances, and means for generating a flow of air for releasing the volatile substances, and which is characterized in that said means for generating a flow of air comprise a mobile body (1) joined to said support (9), at least one magnet (2) disposed in said mobile body (1), and means for generating a magnetic flux (4, 5), the operation of which causes the movement of said mobile body (1) by means of the repulsive force between the at least one magnet (2) in the mobile body (1) and the magnetic flux. an improvement in the energy consumption is permitted, using a low-consumption periodic operation, aided by magnetic means.."
Examiner 01,"vacuum cleaner with removable dust collector, and methods of operating the same. a vacuum cleaner includes a dust collector that compresses dust stored inside a dust container to minimize the volume of the dust. the dust collector would include one or more pressing plates that are used to compress the dust stored in dust collector. various methods are used to control movements of the movable pressing plates to facilitate the compression operations. also, various methods are used to determine when the dust collector is full and needs to be emptied.."
Examiner 01,"integration of rapid cycle pressure swing adsorption with refinery process units (hydroprocessing, hydrocracking, etc.). the present invention is a method for operating a rapid cycling pressure swing adsorption (rcpsa) having a cycle time, t, to separate a feed gas into a non-adsorbed gas and tail gas. the method includes the steps of passing the feed gas having a purity of f % at high pressure into a first end of a bed which selectively adsorbs the tail gas and passes the product gas out a second end of the bed for a time, f. the product gas has a purity, p %, and a rate of recovery of r %. then the bed is cocurrently depressurized for a time, tco, followed by countercurrently depressurizing the bed for a time, tcn. the bed is then purged for a time, tp, wherein desorbate (tail gas) is released at the first end of the bed at a pressure greater than 30 psig, subsequently the bed is repressurized for a duration, trp. r>80%, p/f?1.1 or r?90%, 0<p/f <1.1.."
Examiner 01,"vertically arranged separator for separating liquid from a gas flow. a vertically oriented separator for separating liquid from a gas stream, where the incoming fluid enters the separator through an inlet nozzle arranged mainly perpendicular to the center axis of the separator and communicates with a circular swirl-inducing inlet device which is outwardly limited by the separator wall, inwardly limited by a mainly centrally arranged pipe and upwardly limited by a sealed top cover. the separator includes a first separation compartment arranged below the pipe and a second separator compartment arranged above the pipe, so the incoming fluid successively and under continuous swirl is forced to pass from the circular swirl-inducing inlet device to the first separator compartment and further through the pipe to the second separator compartment.."
Examiner 01,modified float bowl and drain valve for a carburetor. a carburetor draining system for safe and convenient draining. a vessel posterior end of a vessel is disposed against a carburetor body. a vessel base is disposed against a vessel anterior end. a base aperture is disposed on the vessel base. a stem posterior portion of a drain stem is disposed inside the vessel chamber and a stem anterior portion protrudes from the base aperture. a drain port disposed through the stem posterior portion intersects a drain channel disposed inside the stem anterior portion. a locking mechanism secures the vessel to the carburetor body. a valve body of a valve is removeably disposed inside the drain channel. a first seal on the valve body is pressed against an interior surface of the drain channel. a second seal is disposed on a valve stem. a valve handle moves the valve into a closed position or an open position for draining..
Examiner 01,"scent diffuser. a scent diffuser method and apparatus that uses a sealed dry technology scent either alone in as part of a cartridge that is inserted into a housing and wherein the sealed scent cartridge is actuated to expose it to the immediate environment thereby allowing the scent to be diffused throughout the immediate proximity. the scent is activate through the use of a fan or the application of heat through a power source. as a stand alone unit, a device using the cartridge is activatable through the depression of a knob that is powered by a spring to keep it open and closed as desired. once open, the knob can be rotated to control the speed of scent diffusion.."
Examiner 01,"purification structure of heat dissipator. a purification structure is located beside an inlet segment of a heat dissipator and contains: a casing, a water mesh, a water distribution seat, and a water collection device. the casing includes an air inlet and an air outlet. the water mesh includes multiple orifices and is accommodated between the air inlet and the air outlet of the casing. the water distribution seat is secured on a top of the water mesh and includes an aperture and multiple passages. the water collection device communicates with a bottom of the water mesh, and the water collection device includes a water accommodation chamber and a pump, wherein the pump has a water output segment connecting with a guide tube which communicates with the aperture of the water distribution seat, such that the water is outputted by the pump to flow toward the aperture via the guide tube.."
Examiner 01,"cooling tower with indirect heat exchanger. a heat exchange apparatus is provided with an indirect evaporative heat exchange section and a direct evaporative heat exchange section. the indirect evaporative heat exchange section is usually located above the direct evaporative heat exchange section, and an evaporative liquid is passed downwardly onto the indirect heat exchange section. the evaporative liquid that exits the direct evaporative heat exchange section then passes downwardly across and through the indirect heat exchange section. the evaporative liquid is collected in a sump and then pumped upwardly to be distributed again across the direct heat exchange section. the indirect heat exchange section is comprised of a plate type heat exchanger.."
Examiner 01,"humidifier with ultraviolet disinfection. a humidifier for treating humidified air with germicidal light is provided. the humidifier includes a water reservoir, an atomizer to atomize a supply of water, and an ultraviolet light source to expose the atomized water to germicidal light. the ultraviolet light source extends vertically within a cylindrical channel to irradiate the atomized water dissipating upwardly from the atomizer. the water reservoir can include a carbon filter and a hardness-removing module for removing containments and metal oxides from the water supply. a control panel indicates the remaining useful life of the ultraviolet light source, the carbon filter and the hardness-removing module based on historical humidifier usage and water quality levels.."
Examiner 01,"methods and apparatus for localized delivery of scented aerosols. the present invention provides systems and methods for delivering a controlled amount of scent to a target user. such methods and systems will preferably provide carefully direct boluses or streams of scent(s) to a single or small group of individual(s) using a bolus generator so as to avoid cross-contamination of scents with other persons and other locations. the present invention preferably delivers the bolus of scent as an air ring. the scented air ring moves through the air between the scent generating device directly to the user as a cohesive unit of air. this phenomenon is similar to a “smoke ring” exhaled by a smoker. the scent ring can be directed with accuracy to a localized target as small as the nose of a single user, such that the entire dosage can be delivered to only the user's direct vicinity. such targeted delivery minimizes the amount of scent that must be delivered to achieve a desired level of scenting at the target location. advantageously, the amount of scent that must be removed or dissipated from the user's area is also reduced. in another aspect, the present invention provides anti contamination devices that inhibit the contamination of the sequential delivery of scent chemicals.."
Examiner 01,"cyclone dust collector and handle assembly for vacuum cleaner having the same. disclosed is a handle assembly of a vacuum cleaner, comprising a handle pipe having an inlet and an outlet fluidly connected to a suction port assembly and a cleaner body, respectively, a handle formed on the handle pipe to grip for a cleaning work, and a cyclone dust collector protruded at one side of the handle pipe to centrifugally separate dust from an external air flowed in through the inlet of the handle pipe, and discharge a clean air to the outlet of the handle pipe. accordingly, the cyclone dust collector can be used even in a state that an auxiliary suction tool is connected to the handle assembly.."
Examiner 01,"method for processing landfill and other stranded gas containing commercial quantities of methane and contaminated by carbon dioxide, nitrogen and oxygen into a pipeline or vehicle quality natural gas product. stranded natural gas, when contaminated by difficult to remove constituents such as nitrogen and oxygen, has long been considered uneconomical to process into pipeline quality gas and is abandoned or utilized in other energy applications where economically viable. landfill gas (lfg) is often considered a stranded gas although in many instances it is available at reasonable distances to natural gas pipelines, and has only rarely been processed for injection into natural gas pipelines. other stranded contaminated gases, such as gases vented from remote oil wells or coal beds where access to transportation pipelines is not feasible are also candidates for collection. in many instances, billions of cubic feet of methane rich lfg has been vented or flared into the atmosphere. the present invention utilizes a variety of components and provides a product gas that will meet all known pipeline requirements and/or vehicle fuel specifications without the need for blending with pipeline gas and without using cryogenic separation techniques or partial cryogenic processes. the invention also provides a product gas suitable for further processing into liquefied natural gas.."
Examiner 01,"suction cleaners. a cyclonic separator for a suction cleaner comprises a cyclone body of which at least part is afforded by components which fit together at interfaces extending axially of the cyclone body. the components may also afford air inlet and dust outlet passages, and at least partially define a dust-collecting chamber.."
Examiner 01,"recirculating coanda water extractor. a recirculating water extractor includes a swirl vane, a converging nozzle, and two sumps. the recirculating water extractor may be designed to reintroduce uncollected water droplets back into the air stream upstream of both sumps, which may provide additional opportunities for separation. the coanda effect may be exploited to increase the discharge of water along a surface. utilizing a converging nozzle may intensify the centrifugal force applied to the air stream rich with entrained water and may move more of entrained water into contact with the wall of the nozzle, which, in turn, may enhance the liquid/vapor separation compared to prior art water extractors. the recirculating water extractor utilizing the coanda effect and the method for removing entrained water from an air stream may be suitable for, but not limited to, applications in the aircraft and aerospace industries, for example, by being included in environmental control systems of aircraft.."
Examiner 01,"dust collection assembly of vacuum cleaner. a dust collection assembly of a vacuum cleaner is provided. the dust collection assembly includes a dust collecting box, a filter, a flow guide unit, an exhaust guider, and an upper cover. the dust collecting box and the flow guide unit are integrally formed in a single body. the dust collecting box includes a first and second dust collecting spaces for collecting foreign objects. the filter is disposed in the inside of the dust collecting space to primarily filter foreign objects during operation of a cyclone. the flow guide unit guides airflow and has small cyclones integrally formed therein, for secondarily filtering the foreign objects in air. the exhaust guider guides airflow and has a plurality of discharge holes through which air filtered by the small cyclone flows. the upper cover is disposed on the upper side of the exhaust guider.."
Examiner 01,"aerosol generator. an aerosol generator includes a saturator having an enclosure for passing a gas therethrough, and a porous substrate being adapted for retaining a non-vaporized form of an aerosol material, wherein the porous substrate is further adapted to release a vaporized form of the aerosol material for introduction into the gas within the enclosure, and a condenser adapted for receiving the gas containing the vapor from the saturator to produce an aerosol containing the aerosol material.."
Examiner 01,"method of removing unburned carbon from fly ash. unburned carbon is efficiently removed from fly ash, and effective utilization of the fly ash and removed unburned carbon is attained. water is added to fly ash to thereby obtain a slurry. a collector is added to the slurry, and shearing force is applied to the slurry and collector to thereby attain a surface modification. the mixture is subjected to flotation operation at which unburned carbon of fly ash is attached to froths and surfaced. the application of shearing force to the slurry and collector can be carried out by means of a submerged agitator whereby an agitation power of 0.7 to 10 kwh/m3 is applied per unit quantity of slurry. the fly ash concentration of the slurry is in the range of 3 to 50 wt. %, and the amount of collector added is in the range of 5 to 100 wt. % based on the amount of unburned carbon of fly ash. the unburned carbon separated by flotation can be used as fuel, and the fly ash (product) having its unburned carbon content reduced to 1 wt. % or below can be used as a cement mixing material or a raw material for production of lightweight aggregate.."
Examiner 01,"buoyant aerator array with remote air supply. the buoyant aerator array with remote air supply has a plurality of aerators disposed in a body of water and supplied with air from a single remote source. the remote source may be land-based or based upon a floating vessel. an air supply line extends from the remote air source to each aerator. each line is supported by one or more rigid poles or columns anchored into the floor of the body of water. two aerator embodiments are described herein, with each having a toroidal float. in one embodiment, the entire aerator structure floats to hold the aerator at a constant level, and is held in position by restraining cables. another embodiment has a plurality legs anchored to the bottom, the float and attached aerator riding along the legs to maintain a constant aerator level below the surface as the water level changes.."
Examiner 01,top-filling humidifier. an ultrasonic humidifier includes a tank having a water level and a floater having a tubular structure with a bottom rim and a top rim. the tubular structure has a frusto-conical shape and is vertically and co-axially disposed within the floater. the tubular structure having a widest diameter end disposed on the bottom rim and a narrower diameter end disposed at the top rim. this humidifier also has an air-supply arrangement that eliminates water damage to the fan during spillage..
Examiner 01,"battery operated fragrance dispenser. a fragrance dispenser includes a container for holding and exposing a fragrance material, and a housing defined by at least one elongated shell and a cap including an elongated slider. each elongated shell is slideably engageable with the elongated slider. the housing includes an air discharge opening on the cap, and a power source mounted therein for providing power to a motor, which is operably connected to drive a fan. the fan is operable to increase flow of air over the fragrance material, to dispense fragrance from within the housing, through the air discharge opening, to an exterior of the housing. when the at least one elongated shell is engaged to the cap, the power source supplies power to the motor to drive the fan, and when the at least one elongated shell is disengaged from the cap, power from the power source to the motor is discontinued.."
Examiner 01,"process and apparatus for carbon dioxide recovery. the present invention generally relates to vacuum pressure swing adsorption (vpsa) processes and apparatus to recover carbon dioxide having a purity of approximately ?90 mole % from streams containing at least carbon dioxide and hydrogen (e.g., syngas). the feed to the co2 vpsa unit can be at super ambient pressure. the co2 vpsa unit produces three streams, a h2-enriched stream, a h2-depleted stream and a co2 product stream. when the co2 vpsa unit is installed between an smr/shift reactor and a h2 psa unit, hydrogen recovery is expected to be increased by extracting co2, thereby increasing hydrogen partial pressure in the h2 psa feed. the stream from the co2 vpsa unit, normally used as fuel, is recycled as feed to increase co2 recovery. the recovered co2 can be further upgraded, sequestered or used in applications such as enhanced oil recovery (eor).."
Examiner 01,"fluid mixing device. a fluid mixing device includes a body, a water controlling valve assembly and a venturi tube structure. the body is internally formed with inlet channels for communicating with water source, a first channel, an outlet channel communicating between the first channel and outside of the body, and a gassing channel communicating between the first channel and a gas source. the water controlling valve is operable between first and second positions. the venturi tube structure is disposed within the first channel and includes a necked passage communicating with the first channel and a gassing hole communicating between the necked passage and the gassing channel. when the water controlling valve is located in the first position, the water flow passes through the necked passage and draws gas from the gas source through the gassing hole to come into the necked passage to mix with each other.."
Examiner 01,"fan blade scent dispersing system. a fan blade scent dispersing system includes a ceiling fan that includes a plurality of fan blades. each of the fan blades has a blade portion and an arm portion. each of the blade portions has an upper surface and a lower surface. a housing has a top wall, a bottom wall and a peripheral wall that is attached to and extends between the top and bottom walls. each of the top, bottom and peripheral walls has an outer surface and an inner surface with respect to an interior of the housing. the housing has a plurality of slots therein extending into the outer surface and through the inner surface. a scent impregnated panel is positioned within the housing. the panel is configured for releasing scent impregnated therein. a coupling member is attached to the housing and releasably secures the housing to one of the arm portions.."
Examiner 01,"advanced air cleaning system and method. a method and system removes nuclear, biological and chemical (nbc) agents from an air stream from a facility hvac. the system includes an irradiation zone, a saturation zone and a precipitation zone. a contaminant detection apparatus controls the irradiation, saturation and precipitation of the air stream. the irradiation destroys biological agents along with saturation of air stream with a water based solution. the biological debris and dissolved chemical agents are precipitated out of the air stream by condenser coils. nuclear agents are removed from the air stream by a diverting the air stream though a bypass filter containing high mass particulate filters and activated charcoal. the contaminants are stored for later removal and destruction. the contaminate detection apparatus includes nbc sensors.."
Examiner 01,drill cuttings conveyance systems and methods. methods for processing drill cuttings including measuring moisture content of the drill cuttings; systems for doing this; methods for moving drill cuttings using conduits with spaced-apart inlets for applying positive pressure; and feeding apparatuses for loading drill cuttings into a positive pressure conduit..
Examiner 01,"device and method for particle separation. a separation device with a gas inlet port that accepts an inlet gas. the inlet gas is composed of a mixture of at least two separable particle components with each component having a different mass. a rotating separation rotor accepts the inlet gas and uses a separator to substantially separate the gas according to mass into two fractions, a heavier and a lighter fraction. one of the fractions is passed to a second separator that further separates that fraction into another two fractions consisting of heavier and lighter fractions. the desired fractions are collected and exhausted from the separation device for use.."
Examiner 01,"separator column. separator column (1) with at least one demister, such as a swirl deck (17), crossing the flow path, and a coalescer deck (7) crossing the flow path upstream the demister. the coalescer deck carries at least one coalescer (8) comprising an uninterrupted coalescer tube (9) with an upstream open end (11), a downstream open end (12), and a swirler (13) between the two open ends. a direct flow path extends between a downstream edge of the coalescer tube and the demister.."
Examiner 01,"device and method for particle separation. a separation device with a gas inlet port that accepts an inlet gas. the inlet gas is composed of a mixture of at least two separable particle components with each component having a different mass. a rotating separation rotor accepts the inlet gas and uses a separator to substantially separate the gas according to mass into two fractions, a heavier and a lighter fraction. one of the fractions is passed to a second separator that further separates that fraction into another two fractions consisting of heavier and lighter fractions. the desired fractions are collected and exhausted from the separation device for use.."
Examiner 01,"method and system for extracting carbon dioxide by anti-sublimation at raised pressure. a method for removal of co2 from a gas stream by anti-sublimation, comprising the steps of: a) introducing a gas stream containing co2 into a frosting vessel; b) reducing the temperature of at least a portion of the gas stream in said frosting vessel to a temperature at which solid co2 is deposited by anti-sublimation; c) discharging the gas stream depleted of co2 from the frosting vessel; and d) recovering the deposited solid co2; wherein the pressure of the gas stream in step b) is higher than atmospheric pressure. an anti-sublimation system for removal of co2 from a gas stream, comprising: a frosting vessel configured to receive the gas stream, said frosting vessel comprising a low temperature refrigeration device configured for reducing the temperature of at least a portion of a gas stream in said frosting vessel to a temperature at which solid co2 is deposited by anti-sublimation; and a compressor configured to increase the gas pressure of the gas stream which is fed to the frosting vessel.."
Examiner 01,"carburetor with single diaphragm for supplying and metering fuel. a carburetor includes a body with an air intake path, a fuel pump and a fuel pressure regulator. the fuel pump and fuel pressure regulator are positioned on the same side of the body. a fuel pump and metering chamber diaphragm is sandwiched between the body of the carburetor and a pump body and cover. the diaphragm separates a pump chamber from a pulse chamber of the fuel pump and separates a fuel chamber from an air chamber in the fuel pressure regulator. inlet and outlet flapper valves are part of the diaphragm or a separate flapper valve member positioned between the body and the diaphragm.."
Examiner 01,cast separator tank. a separator tank assembly comprising a cast hollow tank and a cast lid. the cast hollow tank has a closed end and an open end having a first opening and a second opening. the cast lid has a first passage configured for fluid communication with the tank first opening and a second passage configured for sealed fluid communication with the second opening. the first passage is formed with an integral port configured to receive a pressure control valve and the second passage is formed with an integral port configured to receive an oil filter and wherein the tank is configured such that air having undergone primary separation flows through the first opening and oil within the tank flows through the second opening..
Examiner 01,"water-cooled fan and method for controlling multifunctional fan. a water-cooled fan includes a body having an air inlet and an air outlet; a fan unit corresponding to the air inlet or the air outlet; an installation slot placed between the air inlet and the air outlet; and a water supply unit disposed above the installation slot. a method for controlling a multifunctional fan includes configuring a functional space and providing a water supply unit at a top end of the functional space; optionally providing a honeycomb or an air filter unit in the functional space; and when the honeycomb is provided in the functional space, providing, by the water supply unit, dampening water for the honeycomb. the present invention can selectively achieve the effect of air humidification or air purification by using a honeycomb or an air filter unit as needed, and the water-cooled fan of the present invention has high intelligence. a multi-purpose set reduces the cost.."
Examiner 01,de-aeration device for a hydraulically actuated variable valve actuation system. a hydraulic fluid de-aeration device for a hydraulically actuated variable valve actuation system is provided. the device includes a de-aeration bridge having a first end and a second end. the device includes a conical de-aeration chamber having an outer wall and a generally vertical center axis. the second end of the de-aeration bridge is offset from the center axis of the de-aeration chamber such that hydraulic fluid flowing from the de-aeration bridge is directed towards the outer wall of the de-aeration chamber. the device includes a cover with a vent hole for air that is expelled from the hydraulic fluid. a passage connected to the de-aeration chamber supplies the hydraulic fluid to a hydraulic fluid gallery of the variable valve actuation system..
Examiner 01,"filter elements; air cleaner; assembly; and, methods. a filter element, a safety element and fluid cleaner assembly. the fluid cleaner assembly generally includes a housing having a cover and a primary fluid cleaner section. the element generally comprises z-filter media, arranged in a straight through configuration, and an axial seal gasket positioned to extend continuously around at outer perimeter of the straight through flow construction. the fluid cleaner assembly can have a precleaner positioned therein. methods of assembly and use are provided.."
Examiner 01,"heating arrangements for humidification systems. an electrically conductive plastic (ecp) material can be used to heat water in a reservoir of a respiratory humidifier to encourage heating and/or humidification of gases passing through the respiratory humidifier. the electrically conductive plastic material can at least in part overmould the base and/or walls of the chamber and/or the reservoir of the respiratory humidifier. the reservoir can also partially or fully be formed from the electrically conductive plastic material. furthermore, the humidification system can be configured to create substantially equal or differential heating of water in the reservoir.."
Examiner 01,"method and apparatus for supplying liquid raw material. disclosed are a method for supplying a liquid raw material wherein the liquid raw material is deaerated and supplied from a liquid raw material container to a liquid flow control section, the method comprising passing the liquid raw material, supplied from a liquid raw material container by the pressure of a first inert gas, inside of a gas permeable synthetic resin tube, passing a second inert gas having a lower permeability into the synthetic resin tube than the first inert gas along the external surface of the synthetic resin tube whereby the first inert gas dissolved in the liquid raw material is allowed to penetrate into the outside of the synthetic resin tube and then supplying the liquid raw material to the liquid flow control section and an apparatus for supplying a liquid raw material which apparatus is used in the method. the invention ensures that inert gas dissolved in a liquid raw material can be removed easily and efficiently in a semiconductor manufacturing process using a liquid raw material.."
Examiner 01,"air cleaner. an air cleaner for centrifugally ejecting heavier-than-air particulate debris from an air stream. a housing encloses a fan for drawing debris-laden air into a forward portion of the housing and rotating the air so as to form a rotating flow pattern that stratifies the debris-laden air, with the heavier particles of debris in the outermost orbits of the rotating flow pattern. the thus rotating air passes through an annulus to a rear portion of the housing in which the air flow is caused to back up. as a consequence, some solid debris in the forward housing portion moves into a forward isolation region from which that debris is ejected through a forward exit orifice. other solid debris in the rear housing portion enters a rear isolation region from which it is ejected through a rear exit orifice. the thus-cleaned air passes through an exit gap to an air outlet from which it exits the air cleaner for use. the relationship between the sizes of the front and rear housing portions, the annulus, the front and rear exit orifices, the gap, and the fan capacity controls the size and amount of solid debris ejected through the exit orifices.."
Examiner 01,engine crank case sampling system. a gas separator system for providing contaminant-free engine crankcase gas to a gas analyzer. the system has an inlet member for receiving the crankcase gas from the engine and an oil separator for separating at least a portion of the contaminants from the crankcase gas. a pump is arranged to draw the crankcase gas through the inlet member and move the separated crankcase gas to the gas analyzer..
Examiner 01,"gas-liquid separator. a gas-liquid separator having two or more vertically spaced rows of parallel horizontally spaced upwardly facing gutters, the gutters having an upwardly extending gutter wall, wherein the upper end of the gutter wall is provided with a u-turn deflector.."
Examiner 01,"automotive vent freshener. a freshener device includes a clip, a carrier, and a carrier retainer. the carrier is provided with odor emitting substances, odor eliminating substances and/or insect repellent. the carrier retainer secures the carrier to the clip, and the clip may be used to secure the device to an ancillary object so as to expose the carrier for controlling odor within a region of space near the ancillary object. some embodiments enable removably securing the device to at least one air-directional controller exhaust vent louver of a vehicle air conditioning unit to control odor within the passenger compartment of the vehicle. other embodiments enable interchangeable and replaceable components to provide various utilitarian and aesthetic features.."
Examiner 01,"passive heat and mass transfer system. a heat and mass transfer system configured to be a passive system using gravitational force to form a thin liquid film flow on an outer surface of a flow distribution head and downstream conduit member to subject the thin liquid film to heat transfer mediums. the at least partially spherical flow distribution head creates a uniform thin flow of liquid on the outer surface increasing the efficiency of the heat and mass transfer system. the heat and mass transfer system may include a heat transfer medium supply system in fluid communication with internal aspects of the downstream conduit such that a heat transfer medium flows within the downstream conduit while the liquid film flows on the outer surface of the downstream conduit. rather than conventional sheet flow on inner surfaces of a conduit, the flow distribution head enables sheet flow to be formed on an outside surface of a component.."
Examiner 01,liquid cartridge. a liquid cartridge includes a vessel body for containing liquid. the vessel body includes a plurality of surfaces. an oxygen outlet is provided on one surface among the plurality of surfaces of the vessel body. and an oxygen input is provided on a surface other than a furthest surface from the surface on which the oxygen outlet is provided among the plurality of surfaces of the vessel body..
